,chain,draw,"('posterior', 'BetaGeoModel::alpha')","('posterior', 'BetaGeoModel::r')","('posterior', 'BetaGeoModel::phi')","('posterior', 'BetaGeoModel::kappa')","('posterior', 'BetaGeoModel::a')","('posterior', 'BetaGeoModel::b')","('sample_stats', 'acceptance_rate')","('sample_stats', 'diverging')","('sample_stats', 'tree_depth')","('sample_stats', 'energy')","('sample_stats', 'lp')","('sample_stats', 'step_size')","('sample_stats', 'max_energy_error')","('sample_stats', 'n_steps')","('sample_stats', 'process_time_diff')","('sample_stats', 'perf_counter_diff')","('sample_stats', 'energy_error')","('sample_stats', 'step_size_bar')","('sample_stats', 'perf_counter_start')"
0,0,0,4.564105975115915,0.2424378091620833,0.21016327474291788,5.379127248874733,1.1304949978823764,4.248632250992356,1.0000000000000002,False,2,9591.58422367234,-9590.56700318414,0.39452287278432063,-0.04335440246359212,3.0,0.006498991000000842,0.0066693180706351995,-0.04335440246359212,0.36314976079478506,1223784.642917919
1,0,1,4.333017552623572,0.23304894071049848,0.20995370360157675,7.018589609971906,1.4735788826731477,5.5450107272987585,0.9501163863896849,False,3,9592.95529372391,-9592.289596314535,0.39452287278432063,0.09747579695977038,7.0,0.013301358000003205,0.030622158898040652,0.09747579695977038,0.36314976079478506,1223784.64986895
2,0,2,4.612288913529496,0.25695579789998513,0.22332859773063424,3.816717324975441,0.8523821281209827,2.9643351968544582,0.9614210934981411,False,3,9593.595697021741,-9589.776439442638,0.39452287278432063,0.13876040621835273,7.0,0.013007771999998141,0.021697734016925097,-0.010633625026457594,0.36314976079478506,1223784.680778923
3,0,3,4.514782935339422,0.23930432124150855,0.2927665633430444,1.9666522451926585,0.575770019115937,1.3908822260767215,0.9759030142926228,False,4,9595.479766243618,-9591.950688409805,0.39452287278432063,0.1313350255950354,15.0,0.028639532999999773,0.028680966002866626,0.05464478708927345,0.36314976079478506,1223784.702725769
4,0,4,4.242980041585666,0.2273129607854297,0.25477885775662346,2.509197972978304,0.6392905934406472,1.8699073795376568,0.9996949021212884,False,4,9593.020365475692,-9589.892497522069,0.39452287278432063,-0.21569534395166556,15.0,0.03437181500000008,0.03493896499276161,-0.06190120130486321,0.36314976079478506,1223784.731696149
5,0,5,4.018005862636499,0.23071577691477452,0.2517870872381161,4.32179301095615,1.0881716738746967,3.2336213370814537,0.9872310009290355,False,3,9591.608606958436,-9589.994867662765,0.39452287278432063,-0.06282899008147069,7.0,0.013623171999999073,0.013622449012473226,-0.06282899008147069,0.36314976079478506,1223784.766950029
6,0,6,4.312171691827027,0.24801121725966735,0.255084780074935,4.371728533160006,1.1151614114284383,3.256567121731568,0.939335988428272,False,4,9592.953029490756,-9590.314673128105,0.39452287278432063,0.15667994593422918,11.0,0.019014253000001702,0.04122156393714249,0.11828153605165426,0.36314976079478506,1223784.784037743
7,0,7,4.2029985463459205,0.23243556043462246,0.23683892541461085,2.494969000425654,0.5909057770035776,1.9040632234220765,0.9994252641388869,False,3,9590.942115195767,-9590.143240493022,0.39452287278432063,-0.16745014554726367,7.0,0.012674862000000786,0.024679075926542282,-0.04493015456318972,0.36314976079478506,1223784.825969741
8,0,8,4.773901859596559,0.25563854210219944,0.26779028880138894,2.221502812874075,0.5948968798326464,1.6266059330414282,0.9992572215135178,False,4,9592.122831795969,-9589.885720808987,0.39452287278432063,-0.1799868571197294,11.0,0.027420575999997254,0.05563905090093613,-0.0843137470073998,0.36314976079478506,1223784.85092033
9,0,9,4.7405009954557595,0.26248936305139364,0.26595705629750294,2.0917280991525127,0.5563098478253736,1.5354182513271393,0.9338700298774015,False,2,9591.020032768603,-9590.965561027346,0.39452287278432063,0.0961100455297128,3.0,0.00638548999999955,0.006385003915056586,0.0961100455297128,0.36314976079478506,1223784.906860595
